SEL,TEL,SEX,GA5,EFN,RND,EFC,VOT
AB,NEITHER,M,25 TO 34,81710, , ,JAMK (PRI/PV/NA)
AB,NEITHER,F,35 TO 44,81710, , ,JAMK (PRI/PV/NA)
AB,NEITHER,F,35 TO 44,81710, , ,JAMK (PRI/PV/NA)
AB,NEITHER,M,45 TO 59,81710, , ,RAC (PAN/PRD/MC)
AB,NEITHER,F,45 TO 59,81710, , ,NULL
AB,NEITHER,F,60 +,81710, , ,RAC (PAN/PRD/MC)
AB,NEITHER,F,60 +,81710, , ,RAC (PAN/PRD/MC)
AB,BOTH,F,18 TO 24,81710, , ,NULL
AB,BOTH,M,18 TO 24,81710, , ,AMLO (MOR/PT)
AB,BOTH,F,18 TO 24,81710, , ,NULL
AB,BOTH,M,18 TO 24,81710, , ,AMLO (MOR/PT)
AB,BOTH,F,18 TO 24,81710, , ,RAC (PAN/PRD/MC)
AB,BOTH,F,18 TO 24,81710, , ,RAC (PAN/PRD/MC)
AB,BOTH,F,18 TO 24,81710, , ,JAMK (PRI/PV/NA)
AB,BOTH,F,18 TO 24,81710, , ,BLANK
AB,BOTH,F,18 TO 24,81710, , ,NULL
AB,BOTH,F,25 TO 34,81710, , ,RAC (PAN/PRD/MC)
AB,BOTH,F,25 TO 34,81710, , ,AMLO (MOR/PT)
AB,BOTH,M,25 TO 34,81710, , ,JAMK (PRI/PV/NA)
AB,BOTH,F,25 TO 34,81710, , ,AMLO (MOR/PT)
AB,BOTH,F,25 TO 34,81710, , ,MZG (IND)
AB,BOTH,F,25 TO 34,81710, , ,AMLO (MOR/PT)
AB,BOTH,M,25 TO 34,81710, , ,RAC (PAN/PRD/MC)
AB,BOTH,M,25 TO 34,81710, , ,AMLO (MOR/PT)
AB,BOTH,F,25 TO 34,81710, , ,RAC (PAN/PRD/MC)
AB,BOTH,M,25 TO 34,81710, , ,AMLO (MOR/PT)
AB,BOTH,M,25 TO 34,81710, , ,JAMK (PRI/PV/NA)
AB,BOTH,M,25 TO 34,81710, , ,RAC (PAN/PRD/MC)
AB,BOTH,F,25 TO 34,81710, , ,JAMK (PRI/PV/NA)
AB,BOTH,F,25 TO 34,81710, , ,RAC (PAN/PRD/MC)
AB,BOTH,M,25 TO 34,81710, , ,AMLO (MOR/PT)
AB,BOTH,M,25 TO 34,81710, , ,AMLO (MOR/PT)
AB,BOTH,F,25 TO 34,81710, , ,AMLO (MOR/PT)
AB,BOTH,M,25 TO 34,81710, , ,AMLO (MOR/PT)
AB,BOTH,F,25 TO 34,81710, , ,JAMK (PRI/PV/NA)
AB,BOTH,F,25 TO 34,81710, , ,RAC (PAN/PRD/MC)
AB,BOTH,F,25 TO 34,81710, , ,AMLO (MOR/PT)
AB,BOTH,M,25 TO 34,81710, , ,JAMK (PRI/PV/NA)
AB,BOTH,F,25 TO 34,81710, , ,AMLO (MOR/PT)
AB,BOTH,F,35 TO 44,81710, , ,RAC (PAN/PRD/MC)
AB,BOTH,F,35 TO 44,81710, , ,RAC (PAN/PRD/MC)
AB,BOTH,F,35 TO 44,81710, , ,RAC (PAN/PRD/MC)
AB,BOTH,M,35 TO 44,81710, , ,AMLO (MOR/PT)
AB,BOTH,F,35 TO 44,81710, , ,MZG (IND)
AB,BOTH,M,35 TO 44,81710, , ,AMLO (MOR/PT)
AB,BOTH,F,35 TO 44,81710, , ,JAMK (PRI/PV/NA)
AB,BOTH,M,35 TO 44,81710, , ,AMLO (MOR/PT)
AB,BOTH,M,35 TO 44,81710, , ,AMLO (MOR/PT)
AB,BOTH,F,35 TO 44,81710, , ,AMLO (MOR/PT)
AB,BOTH,M,35 TO 44,81710, , ,JAMK (PRI/PV/NA)
AB,BOTH,M,35 TO 44,81710, , ,AMLO (MOR/PT)
AB,BOTH,M,35 TO 44,81710, , ,RAC (PAN/PRD/MC)
AB,BOTH,F,35 TO 44,81710, , ,AMLO (MOR/PT)
AB,BOTH,M,35 TO 44,81710, , ,AMLO (MOR/PT)
AB,BOTH,F,35 TO 44,81710, , ,JAMK (PRI/PV/NA)
AB,BOTH,F,35 TO 44,81710, , ,AMLO (MOR/PT)
AB,BOTH,M,35 TO 44,81710, , ,AMLO (MOR/PT)
AB,BOTH,M,35 TO 44,81710, , ,MZG (IND)
AB,BOTH,M,35 TO 44,81710, , ,AMLO (MOR/PT)
AB,BOTH,F,35 TO 44,81710, , ,NULL
AB,BOTH,M,35 TO 44,81710, , ,JAMK (PRI/PV/NA)
